name,state,url,platform,platform_url,ags,kind,state_id
Berlin,Berlin,https://www.wahlen-berlin.de/home.asp,votemanager,http://wahlen.votemanager.de/,11000000,Stadt,11
Berlin,Berlin,https://www.wahlen-berlin.de/home.asp,votemanager,http://wahlen.votemanager.de/,11000000,Stadt,11
Berlin,Berlin,https://www.wahlen-berlin.de/home.asp,votemanager,http://wahlen.votemanager.de/,11000000,Stadt,11
Berlin,Berlin,https://www.wahlen-berlin.de/home.asp,votemanager,http://wahlen.votemanager.de/,11000000,Stadt,11
Berlin,Berlin,https://www.wahlen-berlin.de/home.asp,votemanager,http://wahlen.votemanager.de/,11000000,Stadt,11
Berlin,Berlin,https://www.wahlen-berlin.de/home.asp,votemanager,http://wahlen.votemanager.de/,11000000,Stadt,11
Berlin,Berlin,https://www.wahlen-berlin.de/home.asp,votemanager,http://wahlen.votemanager.de/,11000000,Stadt,11
Berlin,Berlin,https://www.wahlen-berlin.de/home.asp,votemanager,http://wahlen.votemanager.de/,11000000,Stadt,11
Berlin,Berlin,https://www.wahlen-berlin.de/home.asp,votemanager,http://wahlen.votemanager.de/,11000000,Stadt,11
Berlin,Berlin,https://www.wahlen-berlin.de/home.asp,votemanager,http://wahlen.votemanager.de/,11000000,Stadt,11
Berlin,Berlin,https://www.wahlen-berlin.de/home.asp,votemanager,http://wahlen.votemanager.de/,11000000,Stadt,11
Berlin,Berlin,https://www.wahlen-berlin.de/home.asp,votemanager,http://wahlen.votemanager.de/,11000000,Stadt,11
Berlin,Berlin,https://www.wahlen-berlin.de/home.asp,votemanager,http://wahlen.votemanager.de/,11000000,Stadt,11
Bermatingen,Baden-Württemberg,http://wahlen11.rz-kiru.de/08435005W/index.html,votemanager,http://wahlen.votemanager.de/,08435005,Gemeinde,08
Bernau bei Berlin,Brandenburg,http://www.bernau-bei-berlin.de/de/buergerportal/rathaus/wahlen/europa-_und_kommunalwahlen_2014.html,votemanager,http://wahlen.votemanager.de/,12060020,Stadt,12
Berne,Niedersachsen,http://votemanager.kdo.de/03461001/index.html,votemanager,http://wahlen.votemanager.de/,03461001,Gemeinde,03
Wittlich,Rheinland-Pfalz,http://www.bernkastel-wittlich.de/fileadmin/data/FB10/kreistag2014/index.html,votemanager,http://wahlen.votemanager.de/,07231134,Stadt,07
Bernried,Bayern,http://www.wahl.info/kandidaten/ort/gemeinde-bernried_11.html,votemanager,http://wahlen.votemanager.de/,09271116,Gemeinde,09
Bestensee,Brandenburg,http://www.wahlen.bestensee.de/index.html,votemanager,http://wahlen.votemanager.de/,12061020,Gemeinde,12
Bestwig,Nordrhein-Westfalen,http://wahlen.citkomm.de/05958008/index.html,votemanager,http://wahlen.votemanager.de/,05958008,Gemeinde,05
Betzdorf,Rheinland-Pfalz,http://betzdorf.info/Ergebnisse/,votemanager,http://wahlen.votemanager.de/,07132006,Stadt,07
Beuren,Baden-Württemberg,http://wahlen11.rz-kiru.de/08116011W/index.html,votemanager,http://wahlen.votemanager.de/,08116011,Gemeinde,08
Beuren,Baden-Württemberg,http://wahlen11.rz-kiru.de/08116011W/index.html,votemanager,http://wahlen.votemanager.de/,07135008,Gemeinde,07
Bad Bevensen,Niedersachsen,http://itv-ue.de/wahlen/app/2016/beb/index.html,votemanager,http://wahlen.votemanager.de/,03360002,Stadt,03
Bevern,Niedersachsen,https://wahlen.kdgoe.de/032555401/index.html,votemanager,http://wahlen.votemanager.de/,03255002,Gemeinde,03
Bevern,Niedersachsen,https://wahlen.kdgoe.de/032555401/index.html,votemanager,http://wahlen.votemanager.de/,01056003,Gemeinde,01
Beverungen,Nordrhein-Westfalen,http://wahlen.regioit.de/GT/05762008/index.html,votemanager,http://wahlen.votemanager.de/,05762008,Stadt,05
